comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
complete,100,100,4,dieguischa,dieguischa,0,0,0
complete,100,100,4,jaasuarezvi,jaasuarezvi,0,0,0
complete,49.4,100,4,jdsolanos,jdsolanos,50.6,0.506,0
complete,100,100,4,tres-xxx,tres-xxx,0,0,0
complete,59.1,90.8,4,trickyjuggler,trickyjuggler,40.9,0.409,0
simple,66.3,100,4,BrandonAvilanR,BrandonAvilanR,33.7,0.337,0
simple,100,100,4,DSFarfanF,DSFarfanF,0,0,0
simple,88.2,100,4,DaniCastel,DaniCastel,11.8,0.118,0
simple,100,100,4,DaveValencia,DaveValencia,0,0,0
simple,93.4,100,4,JorgeTorresC,JorgeTorresC,6.6,0.066,0
simple,91.6,100,4,Orloffyeah,Orloffyeah,8.4,0.084,0
simple,0,100,4,Saariasba,Saariasba,100,1,0
simple,100,100,4,SergioLopez40,SergioLopez40,0,0,0
simple,100,100,4,alejosaur,alejosaur,0,0,0
simple,81,100,4,anythinglord,anythinglord,19,0.19,0
simple,100,100,4,buendiagon,buendiagon,0,0,0
simple,100,100,4,cglaitong,cglaitong,0,0,0
simple,3.6,100,4,criscapunal,criscapunal,96.4,0.964,0
simple,78.7,100,4,csalfonsol,csalfonsol,21.3,0.213,0
simple,86.8,100,4,daapinzonch,daapinzonch,13.2,0.132,0
simple,6.5,100,4,dcastanedar,dcastanedar,93.5,0.935,0
simple,100,100,4,dieguischa,dieguischa,0,0,0
simple,100,100,4,jaasuarezvi,jaasuarezvi,0,0,0
simple,96.7,100,4,jdsolanos,jdsolanos,3.3,0.033,0
simple,100,100,4,tres-xxx,tres-xxx,0,0,0
simple,79.6,100,4,trickyjuggler,trickyjuggler,20.4,0.204,0
maps,4,22,1,FredyRosero,FredyRosero,96,0.96,2
maps,27.2,100,1,LauraMolina,LauraMolina,72.8,0.728,2
maps,21.2,31.3,1,RafaelCruz15,RafaelCruz15,78.8,0.788,2
maps,26.6,100,1,davideperdomo,davideperdomo,73.4,0.734,2
maps,43.7,33.9,1,jannMorenoJ,jannMorenoJ,56.3,0.563,2
maps,23.6,39.7,1,pahigueraf,pahigueraf,76.4,0.764,2
complete,28.7,100,1,Acreed21,Acreed21,71.3,0.713,2
complete,49.3,100,1,Camiioo,Camiioo,50.7,0.507,2
complete,4,22,1,FredyRosero,FredyRosero,96,0.96,2
complete,39.3,100,1,JamerMejiaGarcia,JamerMejiaGarcia,60.7,0.607,2
complete,100,100,1,Jfcastroh,Jfcastroh,0,0,2
complete,35.8,100,1,LauraMolina,LauraMolina,64.2,0.642,2
complete,32.2,97,1,RafaelCruz15,RafaelCruz15,67.8,0.678,2
complete,37.3,97,1,adcorredorm,adcorredorm,62.7,0.627,2
complete,100,100,1,alebautis,alebautis,0,0,2
complete,52.1,54.2,1,ayperezc,ayperezc,47.9,0.479,2
complete,100,100,1,bfprietoc,bfprietoc,0,0,2
complete,11.7,100,1,biherrerap,biherrerap,88.3,0.883,2
complete,16,100,1,dahrojasca,dahrojasca,84,0.84,2
complete,43.9,100,1,davideperdomo,davideperdomo,56.1,0.561,2
complete,56.1,100,1,frnkbs,frnkbs,43.9,0.439,2
complete,100,100,1,gahormigag,gahormigag,0,0,2
complete,100,100,1,ironhacktech2,ironhacktech2,0,0,2
complete,95.1,100,1,jannMorenoJ,jannMorenoJ,4.9,0.049,2
complete,5.8,77,1,jdgaitanf,jdgaitanf,94.2,0.942,2
complete,42,97.2,1,nikolasto,nikolasto,58,0.58,2
complete,34.1,96.5,1,pahigueraf,pahigueraf,65.9,0.659,2
complete,27.6,27.3,1,sarguellesr,sarguellesr,72.4,0.724,2
complete,1.5,100,1,uxjudges1,uxjudges1,98.5,0.985,2
complete,100,100,1,uxjudges,uxjudges,0,0,2
complete,100,100,1,vvargasd,vvargasd,0,0,2
simple,41.2,100,1,Acreed21,Acreed21,58.8,0.588,2
simple,46.1,100,1,Camiioo,Camiioo,53.9,0.539,2
simple,100,100,1,FredyRosero,FredyRosero,0,0,2
simple,34.6,100,1,JamerMejiaGarcia,JamerMejiaGarcia,65.4,0.654,2
simple,100,100,1,Jfcastroh,Jfcastroh,0,0,2
simple,52.3,56.2,1,LauraMolina,LauraMolina,47.7,0.477,2
simple,68,95.5,1,RafaelCruz15,RafaelCruz15,32,0.32,2
simple,58.4,96.7,1,adcorredorm,adcorredorm,41.6,0.416,2
simple,100,100,1,alebautis,alebautis,0,0,2
simple,61,57.9,1,ayperezc,ayperezc,39,0.39,2
simple,100,100,1,bfprietoc,bfprietoc,0,0,2
simple,6.2,100,1,biherrerap,biherrerap,93.8,0.938,2
simple,16,100,1,dahrojasca,dahrojasca,84,0.84,2
simple,67.4,88.9,1,davideperdomo,davideperdomo,32.6,0.326,2
simple,56.1,100,1,frnkbs,frnkbs,43.9,0.439,2
simple,100,100,1,gahormigag,gahormigag,0,0,2
simple,100,100,1,ironhacktech2,ironhacktech2,0,0,2
simple,98.9,100,1,jannMorenoJ,jannMorenoJ,1.1,0.011,2
simple,34.3,82.7,1,jdgaitanf,jdgaitanf,65.7,0.657,2
simple,43.4,97.3,1,nikolasto,nikolasto,56.6,0.566,2
simple,100,100,1,pahigueraf,pahigueraf,0,0,2
simple,17.6,21.6,1,sarguellesr,sarguellesr,82.4,0.824,2
simple,1.5,100,1,uxjudges1,uxjudges1,98.5,0.985,2
simple,100,100,1,uxjudges,uxjudges,0,0,2
simple,100,100,1,vvargasd,vvargasd,0,0,2
maps,5.5,100,2,FredyRosero,FredyRosero,94.5,0.945,2
