,username1,username2,link1,link2,comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp
706,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/facuellarg/webapp_phase1/index.html,http://www.ironhacks.com/preview/facuellarg/webapp_phase2/index.html,complete,27.5,100.0,1,facuellarg,facuellarg,72.5
736,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/federgolo/webapp_phase1/index.html,http://www.ironhacks.com/preview/federgolo/webapp_phase2/index.html,complete,91.1,100.0,1,federgolo,federgolo,8.900000000000006
766,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/garayf/webapp_phase1/index.html,http://www.ironhacks.com/preview/garayf/webapp_phase2/index.html,complete,90.6,100.0,1,garayf,garayf,9.400000000000006
796,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaleonro/webapp_phase1/index.html,http://www.ironhacks.com/preview/jaleonro/webapp_phase2/index.html,complete,83.7,100.0,1,jaleonro,jaleonro,16.299999999999997
826,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jsalcinar/webapp_phase1/index.html,http://www.ironhacks.com/preview/jsalcinar/webapp_phase2/index.html,complete,81.6,100.0,1,jsalcinar,jsalcinar,18.400000000000006
856,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jssanchezo/webapp_phase1/index.html,http://www.ironhacks.com/preview/jssanchezo/webapp_phase2/index.html,complete,100.0,100.0,1,jssanchezo,jssanchezo,0.0
886,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nviverosb/webapp_phase1/index.html,http://www.ironhacks.com/preview/nviverosb/webapp_phase2/index.html,complete,99.2,100.0,1,nviverosb,nviverosb,0.7999999999999972
916,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/olimita/webapp_phase1/index.html,http://www.ironhacks.com/preview/olimita/webapp_phase2/index.html,complete,32.4,100.0,1,olimita,olimita,67.6
946,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase1/index.html,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase2/index.html,complete,44.5,100.0,1,sebcamacho1703,sebcamacho1703,55.5
976,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/serbatero/webapp_phase1/index.html,http://www.ironhacks.com/preview/serbatero/webapp_phase2/index.html,complete,30.4,98.0,1,serbatero,serbatero,69.6
1006,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/xFortich/webapp_phase1/index.html,http://www.ironhacks.com/preview/xFortich/webapp_phase2/index.html,complete,62.6,45.3,1,xFortich,xFortich,37.4
1036,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/yaochoal/webapp_phase1/index.html,http://www.ironhacks.com/preview/yaochoal/webapp_phase2/index.html,complete,86.5,100.0,1,yaochoal,yaochoal,13.5
1037,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Alekzu/webapp_phase1/index.html,http://www.ironhacks.com/preview/Alekzu/webapp_phase2/index.html,simple,100.0,100.0,1,Alekzu,Alekzu,0.0
1067,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Anvido/webapp_phase1/index.html,http://www.ironhacks.com/preview/Anvido/webapp_phase2/index.html,simple,73.4,30.0,1,Anvido,Anvido,26.599999999999994
1097,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Biopeligro/webapp_phase1/index.html,http://www.ironhacks.com/preview/Biopeligro/webapp_phase2/index.html,simple,40.5,100.0,1,Biopeligro,Biopeligro,59.5
1127,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase1/index.html,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase2/index.html,simple,100.0,100.0,1,Caadiazsi,Caadiazsi,0.0
1157,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase1/index.html,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase2/index.html,simple,51.2,100.0,1,DavidsMartinez,DavidsMartinez,48.8
