,type,dist_search,stage
639,Functions Search,0.99,4
640,Functions Search,0.5,4
641,Functions Search,0.525,4
642,Functions Search,0.99,4
643,Functions Search,0.99,4
644,Visual Search,0.713,1
645,Visual Search,0.507,1
646,Visual Search,0.96,1
647,Visual Search,0.607,1
648,Visual Search,0.01,1
649,Visual Search,0.642,1
650,Visual Search,0.678,1
651,Visual Search,0.627,1
652,Visual Search,0.01,1
653,Visual Search,0.479,1
654,Visual Search,0.01,1
655,Visual Search,0.883,1
656,Visual Search,0.84,1
657,Visual Search,0.561,1
658,Visual Search,0.439,1
659,Visual Search,0.01,1
660,Visual Search,0.01,1
661,Visual Search,0.049,1
662,Visual Search,0.942,1
663,Visual Search,0.58,1
664,Visual Search,0.659,1
665,Visual Search,0.724,1
666,Visual Search,0.985,1
667,Visual Search,0.01,1
668,Visual Search,0.01,1
669,Visual Search,0.01,2
670,Visual Search,0.746,2
671,Visual Search,0.894,2
672,Visual Search,0.01,2
673,Visual Search,0.01,2
674,Visual Search,0.01,2
675,Visual Search,0.341,2
676,Visual Search,0.01,2
677,Visual Search,0.01,2
678,Visual Search,0.01,2
679,Visual Search,0.01,2
680,Visual Search,0.01,2
681,Visual Search,0.579,2
682,Visual Search,0.408,2
683,Visual Search,0.439,2
684,Visual Search,0.01,2
685,Visual Search,0.549,2
686,Visual Search,0.01,2
687,Visual Search,0.719,2
688,Visual Search,0.57,2
689,Visual Search,0.419,2
690,Visual Search,0.647,2
691,Visual Search,0.19,2
692,Visual Search,0.01,2
693,Visual Search,0.01,2
694,Visual Search,0.01,2
695,Visual Search,0.002,3
696,Visual Search,0.636,3
697,Visual Search,0.149,3
698,Visual Search,0.01,3
699,Visual Search,0.707,3
700,Visual Search,0.084,3
701,Visual Search,0.01,3
702,Visual Search,0.01,3
703,Visual Search,0.01,3
704,Visual Search,0.18,3
705,Visual Search,0.01,3
706,Visual Search,0.662,3
707,Visual Search,0.579,3
708,Visual Search,0.272,3
709,Visual Search,0.257,3
710,Visual Search,0.01,3
711,Visual Search,0.01,3
712,Visual Search,0.131,3
713,Visual Search,0.01,3
714,Visual Search,0.59,3
715,Visual Search,0.671,3
716,Visual Search,0.01,3
717,Visual Search,0.01,3
718,Visual Search,0.01,3
719,Visual Search,0.01,3
720,Visual Search,0.01,3
721,Visual Search,0.664,4
722,Visual Search,0.539,4
723,Visual Search,0.494,4
724,Visual Search,0.01,4
725,Visual Search,0.01,4
726,Visual Search,0.085,4
727,Visual Search,0.539,4
728,Visual Search,0.323,4
729,Visual Search,0.01,4
730,Visual Search,0.01,4
731,Visual Search,0.01,4
732,Visual Search,0.119,4
733,Visual Search,0.875,4
734,Visual Search,0.242,4
735,Visual Search,0.348,4
736,Visual Search,0.01,4
737,Visual Search,0.672,4
738,Visual Search,0.131,4
739,Visual Search,0.01,4
740,Visual Search,0.59,4
741,Visual Search,0.01,4
742,Visual Search,0.304,4
743,Visual Search,0.01,4
744,Visual Search,0.01,4
745,Visual Search,0.01,4
746,Visual Search,0.01,4
747,Visual Search,0.01,1
748,Visual Search,0.266,1
749,Visual Search,0.595,1
750,Visual Search,0.01,1
751,Visual Search,0.488,1
752,Visual Search,0.676,1
753,Visual Search,0.01,1
754,Visual Search,0.64,1
755,Visual Search,0.01,1
756,Visual Search,0.183,1
757,Visual Search,0.708,1
758,Visual Search,0.801,1
759,Visual Search,0.01,1
760,Visual Search,0.01,1
761,Visual Search,0.01,1
762,Visual Search,0.881,1
763,Visual Search,0.634,1
764,Visual Search,0.725,1
765,Visual Search,0.089,1
766,Visual Search,0.094,1
767,Visual Search,0.163,1
768,Visual Search,0.184,1
769,Visual Search,0.01,1
770,Visual Search,0.008,1
771,Visual Search,0.676,1
772,Visual Search,0.555,1
773,Visual Search,0.696,1
774,Visual Search,0.374,1
775,Visual Search,0.135,1
776,Visual Search,0.731,2
777,Visual Search,0.813,2
778,Visual Search,0.595,2
779,Visual Search,0.55,2
780,Visual Search,0.01,2
781,Visual Search,0.718,2
782,Visual Search,0.612,2
783,Visual Search,0.635,2
784,Visual Search,0.531,2
785,Visual Search,0.251,2
786,Visual Search,0.821,2
787,Visual Search,0.514,2
788,Visual Search,0.809,2
789,Visual Search,0.01,2
790,Visual Search,0.66,2
791,Visual Search,0.041,2
792,Visual Search,0.145,2
793,Visual Search,0.724,2
794,Visual Search,0.715,2
795,Visual Search,0.01,2
796,Visual Search,0.006,2
797,Visual Search,0.257,2
798,Visual Search,0.01,2
799,Visual Search,0.01,2
800,Visual Search,0.016,2
801,Visual Search,0.886,2
802,Visual Search,0.006,2
803,Visual Search,0.062,2
804,Visual Search,0.017,2
805,Visual Search,0.928,3
806,Visual Search,0.001,3
807,Visual Search,0.01,3
808,Visual Search,0.01,3
809,Visual Search,0.01,3
810,Visual Search,0.003,3
811,Visual Search,0.01,3
812,Visual Search,0.655,3
813,Visual Search,0.01,3
814,Visual Search,0.748,3
815,Visual Search,0.009,3
816,Visual Search,0.514,3
817,Visual Search,0.139,3
818,Visual Search,0.01,3
819,Visual Search,0.734,3
820,Visual Search,0.01,3
821,Visual Search,0.174,3
822,Visual Search,0.724,3
823,Visual Search,0.191,3
824,Visual Search,0.002,3
825,Visual Search,0.138,3
826,Visual Search,0.093,3
827,Visual Search,0.01,3
828,Visual Search,0.003,3
829,Visual Search,0.044,3
830,Visual Search,0.401,3
831,Visual Search,0.01,3
832,Visual Search,0.329,3
833,Visual Search,0.003,3
834,Visual Search,0.712,4
835,Visual Search,0.01,4
836,Visual Search,0.903,4
837,Visual Search,0.01,4
838,Visual Search,0.01,4
839,Visual Search,0.127,4
840,Visual Search,0.549,4
841,Visual Search,0.684,4
842,Visual Search,0.01,4
843,Visual Search,0.063,4
844,Visual Search,0.156,4
845,Visual Search,0.759,4
846,Visual Search,0.01,4
847,Visual Search,0.01,4
848,Visual Search,0.146,4
849,Visual Search,0.524,4
850,Visual Search,0.735,4
851,Visual Search,0.01,4
852,Visual Search,0.085,4
853,Visual Search,0.01,4
854,Visual Search,0.152,4
855,Visual Search,0.138,4
856,Visual Search,0.01,4
857,Visual Search,0.009,4
858,Visual Search,0.017,4
859,Visual Search,0.191,4
860,Visual Search,0.585,4
861,Visual Search,0.001,4
862,Visual Search,0.007,4
863,Visual Search,0.607,1
864,Visual Search,0.878,1
865,Visual Search,0.674,1
866,Visual Search,0.273,1
867,Visual Search,0.001,1
868,Visual Search,0.506,1
869,Visual Search,0.674,1
870,Visual Search,0.057,1
871,Visual Search,0.436,1
872,Visual Search,0.876,1
873,Visual Search,0.228,1
874,Visual Search,0.674,1
875,Visual Search,0.674,1
876,Visual Search,0.608,2
877,Visual Search,0.36,2
878,Visual Search,0.674,2
879,Visual Search,0.252,2
880,Visual Search,0.01,2
881,Visual Search,0.773,2
882,Visual Search,0.674,2
883,Visual Search,0.205,2
884,Visual Search,0.591,2
885,Visual Search,0.761,2
886,Visual Search,0.165,2
887,Visual Search,0.674,2
888,Visual Search,0.674,2
889,Visual Search,0.383,3
890,Visual Search,0.674,3
891,Visual Search,0.797,3
892,Visual Search,0.674,3
893,Visual Search,0.291,3
894,Visual Search,0.248,3
895,Visual Search,0.99,3
896,Visual Search,0.712,3
897,Visual Search,0.01,3
898,Visual Search,0.392,3
899,Visual Search,0.674,3
900,Visual Search,0.211,3
901,Visual Search,0.417,3
902,Visual Search,0.713,3
903,Visual Search,0.53,3
904,Visual Search,0.355,3
905,Visual Search,0.646,3
906,Visual Search,0.674,3
907,Visual Search,0.542,3
908,Visual Search,0.674,3
909,Visual Search,0.671,3
910,Visual Search,0.537,4
911,Visual Search,0.01,4
912,Visual Search,0.29,4
913,Visual Search,0.01,4
914,Visual Search,0.066,4
915,Visual Search,0.218,4
916,Visual Search,0.99,4
917,Visual Search,0.001,4
918,Visual Search,0.01,4
919,Visual Search,0.278,4
920,Visual Search,0.01,4
921,Visual Search,0.01,4
922,Visual Search,0.347,4
923,Visual Search,0.228,4
924,Visual Search,0.506,4
925,Visual Search,0.818,4
926,Visual Search,0.01,4
927,Visual Search,0.01,4
928,Visual Search,0.506,4
929,Visual Search,0.01,4
930,Visual Search,0.409,4
931,Visual Search,0.635,1
932,Visual Search,0.529,1
933,Visual Search,0.762,1
934,Visual Search,0.5,1
935,Visual Search,0.043,1
936,Visual Search,0.316,1
937,Visual Search,0.821,1
938,Visual Search,0.462,1
939,Visual Search,0.01,1
940,Visual Search,0.908,1
941,Visual Search,0.528,1
942,Visual Search,0.796,1
943,Visual Search,0.014,1
944,Visual Search,0.403,1
945,Visual Search,0.01,1
946,Visual Search,0.002,1
947,Visual Search,0.01,1
948,Visual Search,0.283,1
949,Visual Search,0.699,1
950,Visual Search,0.578,1
951,Visual Search,0.676,1
952,Visual Search,0.838,1
953,Visual Search,0.653,1
954,Visual Search,0.278,1
955,Visual Search,0.605,1
956,Visual Search,0.734,1
957,Visual Search,0.31,1
958,Visual Search,0.64,1
959,Visual Search,0.011,1
960,Visual Search,0.489,1
961,Visual Search,0.01,2
962,Visual Search,0.738,2
963,Visual Search,0.724,2
964,Visual Search,0.01,2
965,Visual Search,0.471,2
966,Visual Search,0.325,2
967,Visual Search,0.684,2
968,Visual Search,0.01,2
969,Visual Search,0.01,2
970,Visual Search,0.129,2
971,Visual Search,0.235,2
972,Visual Search,0.107,2
973,Visual Search,0.01,2
974,Visual Search,0.097,2
975,Visual Search,0.01,2
976,Visual Search,0.01,2
977,Visual Search,0.01,2
978,Visual Search,0.661,2
979,Visual Search,0.01,2
980,Visual Search,0.001,2
981,Visual Search,0.711,2
982,Visual Search,0.739,2
983,Visual Search,0.029,2
984,Visual Search,0.003,2
985,Visual Search,0.423,2
986,Visual Search,0.01,2
987,Visual Search,0.411,2
988,Visual Search,0.635,2
989,Visual Search,0.047,2
990,Visual Search,0.084,2
991,Visual Search,0.773,3
992,Visual Search,0.519,3
993,Visual Search,0.01,3
994,Visual Search,0.012,3
995,Visual Search,0.01,3
996,Visual Search,0.539,3
997,Visual Search,0.01,3
998,Visual Search,0.01,3
999,Visual Search,0.245,3
1000,Visual Search,0.588,3
1001,Visual Search,0.01,3
1002,Visual Search,0.003,3
1003,Visual Search,0.494,3
1004,Visual Search,0.01,3
1005,Visual Search,0.002,3
1006,Visual Search,0.01,3
