,Unnamed: 0,link1_change,link2_change,ssim_exp,stage,comparison_type,group,ssim_exp_scale,ssim_exp_new
50,50,garayf,garayf,72.88135593220339,4,functions,1,,0.728814
51,51,sarguellesr,sarguellesr,100.0,4,functions,1,,1.0
52,52,davideperdomo,davideperdomo,68.72037914691943,4,functions,1,,0.687204
53,53,xFortich,xFortich,100.0,4,functions,1,,1.0
54,54,Alekzu,Alekzu,0.0,1,complete,1,,0.0
55,55,Anvido,Anvido,26.599999999999994,1,complete,1,,0.266
56,56,Biopeligro,Biopeligro,59.5,1,complete,1,,0.595
57,57,Caadiazsi,Caadiazsi,0.0,1,complete,1,,0.0
58,58,DavidsMartinez,DavidsMartinez,48.8,1,complete,1,,0.488
59,59,DiegoAraque1207,DiegoAraque1207,67.6,1,complete,1,,0.676
60,60,GabrielUnal,GabrielUnal,0.0,1,complete,1,,0.0
61,61,Gavnic,Gavnic,64.0,1,complete,1,,0.64
62,62,Gusgal03,Gusgal03,0.0,1,complete,1,,0.0
63,63,Joacampora,Joacampora,18.3,1,complete,1,,0.183
64,64,Juankmilo97,Juankmilo97,70.8,1,complete,1,,0.708
65,65,Jufcardenasmo,Jufcardenasmo,80.1,1,complete,1,,0.801
66,66,Ozai98,Ozai98,0.0,1,complete,1,,0.0
67,67,Sariilan,Sariilan,0.0,1,complete,1,,0.0
68,68,bsdiaza,bsdiaza,0.0,1,complete,1,,0.0
69,69,casc3798,casc3798,88.1,1,complete,1,,0.881
70,70,diefrodriguezcha,diefrodriguezcha,63.4,1,complete,1,,0.634
71,71,facuellarg,facuellarg,72.5,1,complete,1,,0.725
72,72,federgolo,federgolo,8.900000000000006,1,complete,1,,0.089
73,73,garayf,garayf,9.400000000000006,1,complete,1,,0.094
74,74,jaleonro,jaleonro,16.299999999999997,1,complete,1,,0.163
75,75,jsalcinar,jsalcinar,18.40000000000001,1,complete,1,,0.184
76,76,jssanchezo,jssanchezo,0.0,1,complete,1,,0.0
77,77,nviverosb,nviverosb,0.7999999999999972,1,complete,1,,0.008
78,78,olimita,olimita,67.6,1,complete,1,,0.676
79,79,sebcamacho1703,sebcamacho1703,55.5,1,complete,1,,0.555
80,80,serbatero,serbatero,69.6,1,complete,1,,0.696
81,81,xFortich,xFortich,37.4,1,complete,1,,0.374
82,82,yaochoal,yaochoal,13.5,1,complete,1,,0.135
83,83,Alekzu,Alekzu,73.1,2,complete,1,,0.731
84,84,Anvido,Anvido,81.3,2,complete,1,,0.813
85,85,Biopeligro,Biopeligro,59.5,2,complete,1,,0.595
86,86,Caadiazsi,Caadiazsi,55.0,2,complete,1,,0.55
87,87,DavidsMartinez,DavidsMartinez,0.0,2,complete,1,,0.0
88,88,DiegoAraque1207,DiegoAraque1207,71.8,2,complete,1,,0.718
89,89,GabrielUnal,GabrielUnal,61.2,2,complete,1,,0.612
90,90,Gavnic,Gavnic,63.5,2,complete,1,,0.635
91,91,Gusgal03,Gusgal03,53.1,2,complete,1,,0.531
92,92,Joacampora,Joacampora,25.099999999999994,2,complete,1,,0.251
93,93,Juankmilo97,Juankmilo97,82.1,2,complete,1,,0.821
94,94,Jufcardenasmo,Jufcardenasmo,51.4,2,complete,1,,0.514
95,95,Ozai98,Ozai98,80.9,2,complete,1,,0.809
96,96,Sariilan,Sariilan,0.0,2,complete,1,,0.0
97,97,bsdiaza,bsdiaza,66.0,2,complete,1,,0.66
98,98,casc3798,casc3798,4.099999999999994,2,complete,1,,0.041
99,99,diefrodriguezcha,diefrodriguezcha,14.5,2,complete,1,,0.145
100,100,facuellarg,facuellarg,72.4,2,complete,1,,0.724
101,101,federgolo,federgolo,71.5,2,complete,1,,0.715
102,102,garayf,garayf,0.0,2,complete,1,,0.0
103,103,jaleonro,jaleonro,0.5999999999999943,2,complete,1,,0.006
104,104,jsalcinar,jsalcinar,25.700000000000003,2,complete,1,,0.257
105,105,jssanchezo,jssanchezo,0.0,2,complete,1,,0.0
106,106,nviverosb,nviverosb,0.0,2,complete,1,,0.0
107,107,olimita,olimita,1.5999999999999943,2,complete,1,,0.016
108,108,sebcamacho1703,sebcamacho1703,88.6,2,complete,1,,0.886
109,109,serbatero,serbatero,0.5999999999999943,2,complete,1,,0.006
110,110,xFortich,xFortich,6.200000000000003,2,complete,1,,0.062
111,111,yaochoal,yaochoal,1.7000000000000028,2,complete,1,,0.017
112,112,Alekzu,Alekzu,92.8,3,complete,1,,0.928
113,113,Anvido,Anvido,0.0999999999999943,3,complete,1,,0.001
114,114,Biopeligro,Biopeligro,0.0,3,complete,1,,0.0
115,115,Caadiazsi,Caadiazsi,0.0,3,complete,1,,0.0
116,116,DavidsMartinez,DavidsMartinez,0.0,3,complete,1,,0.0
117,117,DiegoAraque1207,DiegoAraque1207,0.2999999999999971,3,complete,1,,0.003
118,118,GabrielUnal,GabrielUnal,0.0,3,complete,1,,0.0
119,119,Gavnic,Gavnic,65.5,3,complete,1,,0.655
120,120,Gusgal03,Gusgal03,0.0,3,complete,1,,0.0
121,121,Joacampora,Joacampora,74.8,3,complete,1,,0.748
122,122,Juankmilo97,Juankmilo97,0.9000000000000057,3,complete,1,,0.009
123,123,Jufcardenasmo,Jufcardenasmo,51.4,3,complete,1,,0.514
124,124,Ozai98,Ozai98,13.900000000000006,3,complete,1,,0.139
125,125,Sariilan,Sariilan,0.0,3,complete,1,,0.0
126,126,bsdiaza,bsdiaza,73.4,3,complete,1,,0.734
127,127,casc3798,casc3798,0.0,3,complete,1,,0.0
128,128,diefrodriguezcha,diefrodriguezcha,17.400000000000006,3,complete,1,,0.174
129,129,facuellarg,facuellarg,72.4,3,complete,1,,0.724
