,link1_change,link2_change,ssim_exp,stage,comparison_type
236,Biopeligro,Biopeligro,0.0,3,simple
237,Caadiazsi,Caadiazsi,0.0,3,simple
238,DavidsMartinez,DavidsMartinez,0.0,3,simple
239,DiegoAraque1207,DiegoAraque1207,0.29999999999999716,3,simple
240,GabrielUnal,GabrielUnal,0.0,3,simple
241,Gavnic,Gavnic,64.4,3,simple
242,Gusgal03,Gusgal03,0.0,3,simple
243,Joacampora,Joacampora,6.099999999999994,3,simple
244,Juankmilo97,Juankmilo97,0.9000000000000057,3,simple
245,Jufcardenasmo,Jufcardenasmo,0.0,3,simple
246,Ozai98,Ozai98,13.900000000000006,3,simple
247,Sariilan,Sariilan,0.0,3,simple
248,bsdiaza,bsdiaza,67.3,3,simple
249,casc3798,casc3798,0.0,3,simple
250,diefrodriguezcha,diefrodriguezcha,10.0,3,simple
251,facuellarg,facuellarg,72.4,3,simple
252,federgolo,federgolo,2.700000000000003,3,simple
253,garayf,garayf,0.20000000000000284,3,simple
254,jaleonro,jaleonro,0.20000000000000284,3,simple
255,jssanchezo,jssanchezo,0.0,3,simple
256,nviverosb,nviverosb,19.799999999999997,3,simple
257,olimita,olimita,4.400000000000006,3,simple
258,sebcamacho1703,sebcamacho1703,36.6,3,simple
259,serbatero,serbatero,0.0,3,simple
260,xFortich,xFortich,1.2999999999999972,3,simple
261,yaochoal,yaochoal,0.0,3,simple
262,Alekzu,Alekzu,0.20000000000000284,4,maps
263,DiegoAraque1207,DiegoAraque1207,71.5,4,maps
264,GabrielUnal,GabrielUnal,76.6,4,maps
265,Joacampora,Joacampora,66.9,4,maps
266,Juankmilo97,Juankmilo97,73.6,4,maps
267,Jufcardenasmo,Jufcardenasmo,47.8,4,maps
268,bsdiaza,bsdiaza,12.400000000000006,4,maps
269,casc3798,casc3798,74.9,4,maps
270,federgolo,federgolo,0.0,4,maps
271,nviverosb,nviverosb,0.0,4,maps
272,olimita,olimita,0.0,4,maps
273,serbatero,serbatero,12.299999999999997,4,maps
274,yaochoal,yaochoal,0.0,4,maps
275,yaochoal,yaochoal,0.0,4,charts
276,Alekzu,Alekzu,71.2,4,complete
277,Anvido,Anvido,0.0,4,complete
278,Biopeligro,Biopeligro,90.3,4,complete
279,Caadiazsi,Caadiazsi,0.0,4,complete
280,DavidsMartinez,DavidsMartinez,0.0,4,complete
281,DiegoAraque1207,DiegoAraque1207,12.700000000000003,4,complete
282,GabrielUnal,GabrielUnal,54.9,4,complete
283,Gavnic,Gavnic,68.4,4,complete
284,Gusgal03,Gusgal03,0.0,4,complete
285,Joacampora,Joacampora,6.299999999999997,4,complete
286,Juankmilo97,Juankmilo97,15.599999999999994,4,complete
287,Jufcardenasmo,Jufcardenasmo,75.9,4,complete
288,Ozai98,Ozai98,0.0,4,complete
289,Sariilan,Sariilan,0.0,4,complete
290,bsdiaza,bsdiaza,14.599999999999994,4,complete
291,casc3798,casc3798,52.4,4,complete
292,diefrodriguezcha,diefrodriguezcha,73.5,4,complete
293,facuellarg,facuellarg,0.0,4,complete
294,federgolo,federgolo,8.5,4,complete
295,garayf,garayf,0.0,4,complete
296,jaleonro,jaleonro,15.200000000000003,4,complete
297,jsalcinar,jsalcinar,13.799999999999997,4,complete
298,jssanchezo,jssanchezo,0.0,4,complete
299,nviverosb,nviverosb,0.9000000000000057,4,complete
300,olimita,olimita,1.7000000000000028,4,complete
301,sebcamacho1703,sebcamacho1703,19.099999999999994,4,complete
302,serbatero,serbatero,58.5,4,complete
303,xFortich,xFortich,0.09999999999999432,4,complete
304,yaochoal,yaochoal,0.7000000000000028,4,complete
305,Alekzu,Alekzu,4.799999999999997,4,simple
306,Anvido,Anvido,0.0,4,simple
307,Biopeligro,Biopeligro,51.3,4,simple
308,Caadiazsi,Caadiazsi,0.0,4,simple
309,DavidsMartinez,DavidsMartinez,0.0,4,simple
310,DiegoAraque1207,DiegoAraque1207,1.7999999999999972,4,simple
311,GabrielUnal,GabrielUnal,9.900000000000006,4,simple
312,Gavnic,Gavnic,66.8,4,simple
313,Gusgal03,Gusgal03,0.0,4,simple
314,Joacampora,Joacampora,4.200000000000003,4,simple
315,Juankmilo97,Juankmilo97,5.5,4,simple
316,Jufcardenasmo,Jufcardenasmo,89.8,4,simple
317,Ozai98,Ozai98,0.0,4,simple
318,Sariilan,Sariilan,0.0,4,simple
319,bsdiaza,bsdiaza,4.299999999999997,4,simple
320,casc3798,casc3798,28.900000000000006,4,simple
321,diefrodriguezcha,diefrodriguezcha,60.3,4,simple
322,facuellarg,facuellarg,0.0,4,simple
323,federgolo,federgolo,8.5,4,simple
324,garayf,garayf,0.0,4,simple
325,jaleonro,jaleonro,0.4000000000000057,4,simple
326,jssanchezo,jssanchezo,0.0,4,simple
327,nviverosb,nviverosb,15.400000000000006,4,simple
328,olimita,olimita,1.7000000000000028,4,simple
329,sebcamacho1703,sebcamacho1703,7.900000000000006,4,simple
330,serbatero,serbatero,45.9,4,simple
331,xFortich,xFortich,0.09999999999999432,4,simple
332,yaochoal,yaochoal,0.4000000000000057,4,simple
