,type,stage,dist_search
557,complete,1,0.439
558,complete,1,0.01
559,complete,1,0.01
560,complete,1,0.049
561,complete,1,0.942
562,complete,1,0.58
563,complete,1,0.659
564,complete,1,0.724
565,complete,1,0.985
566,complete,1,0.01
567,complete,1,0.01
568,complete,2,0.01
569,complete,2,0.746
570,complete,2,0.894
571,complete,2,0.01
572,complete,2,0.01
573,complete,2,0.01
574,complete,2,0.341
575,complete,2,0.01
576,complete,2,0.01
577,complete,2,0.01
578,complete,2,0.01
579,complete,2,0.01
580,complete,2,0.579
581,complete,2,0.408
582,complete,2,0.439
583,complete,2,0.01
584,complete,2,0.549
585,complete,2,0.01
586,complete,2,0.719
587,complete,2,0.57
588,complete,2,0.419
589,complete,2,0.647
590,complete,2,0.19
591,complete,2,0.01
592,complete,2,0.01
593,complete,2,0.01
594,complete,3,0.002
595,complete,3,0.636
596,complete,3,0.149
597,complete,3,0.01
598,complete,3,0.707
599,complete,3,0.084
600,complete,3,0.01
601,complete,3,0.01
602,complete,3,0.01
603,complete,3,0.18
604,complete,3,0.01
605,complete,3,0.662
606,complete,3,0.579
607,complete,3,0.272
608,complete,3,0.257
609,complete,3,0.01
610,complete,3,0.01
611,complete,3,0.131
612,complete,3,0.01
613,complete,3,0.59
614,complete,3,0.671
615,complete,3,0.01
616,complete,3,0.01
617,complete,3,0.01
618,complete,3,0.01
619,complete,3,0.01
620,complete,4,0.664
621,complete,4,0.539
622,complete,4,0.494
623,complete,4,0.01
624,complete,4,0.01
625,complete,4,0.085
626,complete,4,0.539
627,complete,4,0.323
628,complete,4,0.01
629,complete,4,0.01
630,complete,4,0.01
631,complete,4,0.119
632,complete,4,0.875
633,complete,4,0.242
634,complete,4,0.348
635,complete,4,0.01
636,complete,4,0.672
637,complete,4,0.131
638,complete,4,0.01
639,complete,4,0.59
640,complete,4,0.01
641,complete,4,0.304
642,complete,4,0.01
643,complete,4,0.01
644,complete,4,0.01
645,complete,4,0.01
646,complete,1,0.01
647,complete,1,0.266
648,complete,1,0.595
649,complete,1,0.01
650,complete,1,0.488
651,complete,1,0.676
652,complete,1,0.01
653,complete,1,0.64
654,complete,1,0.01
655,complete,1,0.183
656,complete,1,0.708
657,complete,1,0.801
658,complete,1,0.01
659,complete,1,0.01
660,complete,1,0.01
661,complete,1,0.881
662,complete,1,0.634
663,complete,1,0.725
664,complete,1,0.089
665,complete,1,0.094
666,complete,1,0.163
667,complete,1,0.184
668,complete,1,0.01
669,complete,1,0.008
670,complete,1,0.676
671,complete,1,0.555
672,complete,1,0.696
673,complete,1,0.374
674,complete,1,0.135
675,complete,2,0.731
676,complete,2,0.813
677,complete,2,0.595
678,complete,2,0.55
679,complete,2,0.01
680,complete,2,0.718
681,complete,2,0.612
682,complete,2,0.635
683,complete,2,0.531
684,complete,2,0.251
685,complete,2,0.821
686,complete,2,0.514
687,complete,2,0.809
688,complete,2,0.01
689,complete,2,0.66
690,complete,2,0.041
691,complete,2,0.145
692,complete,2,0.724
693,complete,2,0.715
694,complete,2,0.01
695,complete,2,0.006
696,complete,2,0.257
697,complete,2,0.01
698,complete,2,0.01
699,complete,2,0.016
700,complete,2,0.886
701,complete,2,0.006
702,complete,2,0.062
703,complete,2,0.017
704,complete,3,0.928
705,complete,3,0.001
706,complete,3,0.01
707,complete,3,0.01
708,complete,3,0.01
709,complete,3,0.003
710,complete,3,0.01
711,complete,3,0.655
712,complete,3,0.01
713,complete,3,0.748
714,complete,3,0.009
715,complete,3,0.514
716,complete,3,0.139
717,complete,3,0.01
718,complete,3,0.734
719,complete,3,0.01
720,complete,3,0.174
721,complete,3,0.724
722,complete,3,0.191
723,complete,3,0.002
724,complete,3,0.138
725,complete,3,0.093
726,complete,3,0.01
727,complete,3,0.003
728,complete,3,0.044
729,complete,3,0.401
730,complete,3,0.01
731,complete,3,0.329
732,complete,3,0.003
733,complete,4,0.712
734,complete,4,0.01
735,complete,4,0.903
736,complete,4,0.01
737,complete,4,0.01
738,complete,4,0.127
739,complete,4,0.549
740,complete,4,0.684
741,complete,4,0.01
742,complete,4,0.063
743,complete,4,0.156
744,complete,4,0.759
745,complete,4,0.01
746,complete,4,0.01
747,complete,4,0.146
748,complete,4,0.524
749,complete,4,0.735
750,complete,4,0.01
751,complete,4,0.085
752,complete,4,0.01
753,complete,4,0.152
754,complete,4,0.138
755,complete,4,0.01
756,complete,4,0.009
757,complete,4,0.017
758,complete,4,0.191
759,complete,4,0.585
760,complete,4,0.001
761,complete,4,0.007
762,complete,1,0.607
763,complete,1,0.878
764,complete,1,0.674
765,complete,1,0.273
766,complete,1,0.001
767,complete,1,0.506
768,complete,1,0.674
769,complete,1,0.057
770,complete,1,0.436
771,complete,1,0.876
772,complete,1,0.228
773,complete,1,0.674
774,complete,1,0.674
775,complete,2,0.608
776,complete,2,0.36
777,complete,2,0.674
778,complete,2,0.252
779,complete,2,0.01
780,complete,2,0.773
781,complete,2,0.674
782,complete,2,0.205
783,complete,2,0.591
784,complete,2,0.761
785,complete,2,0.165
786,complete,2,0.674
787,complete,2,0.674
788,complete,3,0.383
789,complete,3,0.674
790,complete,3,0.797
791,complete,3,0.674
792,complete,3,0.291
793,complete,3,0.248
794,complete,3,0.99
795,complete,3,0.712
796,complete,3,0.01
797,complete,3,0.392
798,complete,3,0.674
799,complete,3,0.211
800,complete,3,0.417
801,complete,3,0.713
802,complete,3,0.53
803,complete,3,0.355
804,complete,3,0.646
805,complete,3,0.674
806,complete,3,0.542
807,complete,3,0.674
808,complete,3,0.671
809,complete,4,0.537
810,complete,4,0.01
811,complete,4,0.29
812,complete,4,0.01
813,complete,4,0.066
814,complete,4,0.218
815,complete,4,0.99
816,complete,4,0.001
817,complete,4,0.01
818,complete,4,0.278
819,complete,4,0.01
820,complete,4,0.01
821,complete,4,0.347
822,complete,4,0.228
823,complete,4,0.506
824,complete,4,0.818
825,complete,4,0.01
826,complete,4,0.01
827,complete,4,0.506
828,complete,4,0.01
829,complete,4,0.409
830,complete,1,0.635
831,complete,1,0.529
832,complete,1,0.762
833,complete,1,0.5
834,complete,1,0.043
835,complete,1,0.316
836,complete,1,0.821
837,complete,1,0.462
838,complete,1,0.01
839,complete,1,0.908
840,complete,1,0.528
841,complete,1,0.796
842,complete,1,0.014
843,complete,1,0.403
844,complete,1,0.01
845,complete,1,0.002
846,complete,1,0.01
847,complete,1,0.283
848,complete,1,0.699
849,complete,1,0.578
850,complete,1,0.676
851,complete,1,0.838
852,complete,1,0.653
853,complete,1,0.278
854,complete,1,0.605
855,complete,1,0.734
856,complete,1,0.31
857,complete,1,0.64
858,complete,1,0.011
859,complete,1,0.489
860,complete,2,0.01
861,complete,2,0.738
862,complete,2,0.724
863,complete,2,0.01
864,complete,2,0.471
865,complete,2,0.325
866,complete,2,0.684
867,complete,2,0.01
868,complete,2,0.01
869,complete,2,0.129
870,complete,2,0.235
871,complete,2,0.107
872,complete,2,0.01
873,complete,2,0.097
874,complete,2,0.01
875,complete,2,0.01
876,complete,2,0.01
877,complete,2,0.661
878,complete,2,0.01
879,complete,2,0.001
880,complete,2,0.711
881,complete,2,0.739
882,complete,2,0.029
883,complete,2,0.003
884,complete,2,0.423
885,complete,2,0.01
886,complete,2,0.411
887,complete,2,0.635
888,complete,2,0.047
889,complete,2,0.084
890,complete,3,0.773
891,complete,3,0.519
892,complete,3,0.01
893,complete,3,0.012
894,complete,3,0.01
895,complete,3,0.539
896,complete,3,0.01
897,complete,3,0.01
898,complete,3,0.245
899,complete,3,0.588
900,complete,3,0.01
901,complete,3,0.003
902,complete,3,0.494
903,complete,3,0.01
904,complete,3,0.002
905,complete,3,0.01
906,complete,3,0.01
907,complete,3,0.01
908,complete,3,0.656
909,complete,3,0.005
910,complete,3,0.211
911,complete,3,0.09
912,complete,3,0.01
913,complete,3,0.423
914,complete,3,0.01
915,complete,3,0.01
916,complete,3,0.654
917,complete,3,0.082
918,complete,3,0.06
919,complete,4,0.449
920,complete,4,0.01
921,complete,4,0.001
922,complete,4,0.281
923,complete,4,0.242
924,complete,4,0.01
925,complete,4,0.063
926,complete,4,0.01
927,complete,4,0.005
928,complete,4,0.199
929,complete,4,0.01
930,complete,4,0.134
931,complete,4,0.01
932,complete,4,0.01
933,complete,4,0.1
934,complete,4,0.109
935,complete,4,0.527
936,complete,4,0.128
937,complete,4,0.544
938,complete,4,0.01
939,complete,4,0.748
940,complete,4,0.001
941,complete,4,0.013
942,novel,1,0.99
943,novel,1,0.01
944,novel,1,0.99
945,novel,1,0.01
946,novel,1,0.99
947,novel,1,0.99
948,novel,2,0.01
949,novel,2,0.6666666666666667
950,novel,2,0.4444444444444444
951,novel,2,0.01
952,novel,2,0.01
953,novel,2,0.01
954,novel,2,0.01
955,novel,2,0.01
956,novel,2,0.99
957,novel,2,0.01
958,novel,2,0.99
959,novel,2,0.01
960,novel,2,0.4285714285714286
961,novel,2,0.8333333333333334
962,novel,2,0.1999999999999999
963,novel,2,0.99
964,novel,2,0.99
965,novel,2,0.6666666666666667
966,novel,2,0.75
967,novel,2,0.99
968,novel,2,0.01
