,type,stage,dist_search,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp
484,novel,3,0.01,8706.0,garayf,garayf,3.0,4.0,1.0,1.0
485,novel,3,0.99,8817.0,sebcamacho1703,sebcamacho1703,3.0,4.0,0.0,1.0
486,novel,3,0.8,8927.0,xFortich,xFortich,3.0,4.0,0.2,1.0
487,novel,3,0.75,9036.0,davideperdomo,davideperdomo,3.0,4.0,0.25,1.0
488,novel,3,0.99,9144.0,ayperezc,ayperezc,3.0,4.0,0.0,1.0
489,novel,3,0.01,9251.0,anferoar96,anferoar96,3.0,4.0,1.0,1.0
490,novel,3,0.25,9357.0,trickyjuggler,trickyjuggler,3.0,4.0,0.75,1.0
491,novel,3,0.01,9462.0,casc3798,casc3798,3.0,4.0,1.0,1.0
492,novel,3,0.01,9566.0,jsalcinar,jsalcinar,3.0,4.0,1.0,1.0
493,novel,3,0.6666666666666667,9669.0,Anvido,Anvido,3.0,4.0,0.3333333333333333,1.0
494,novel,3,0.75,9772.0,federgolo,federgolo,3.0,4.0,0.25,1.0
495,novel,3,0.625,9973.0,pahigueraf,pahigueraf,3.0,4.0,0.375,1.0
496,novel,4,0.99,10072.0,mdecloedt,mdecloedt,4.0,5.0,0.0,1.0
497,novel,4,0.99,10170.0,Jordan-Loeser,Jordan-Loeser,4.0,5.0,0.0,1.0
498,novel,4,0.01,10267.0,LukasMMarinovic,LukasMMarinovic,4.0,5.0,1.0,1.0
499,novel,4,0.01,10363.0,whipplem123,whipplem123,4.0,5.0,1.0,1.0
500,novel,4,0.9166666666666666,10458.0,jmamaril25,jmamaril25,4.0,5.0,0.0833333333333333,1.0
501,novel,4,0.01,10552.0,viswapurdue,viswapurdue,4.0,5.0,1.0,1.0
502,novel,4,0.01,10646.0,noah-curran,noah-curran,4.0,5.0,1.0,1.0
503,novel,4,0.01,10738.0,bzin22,bzin22,4.0,5.0,1.0,1.0
504,novel,4,0.8571428571428572,10829.0,AkaGar,AkaGar,4.0,5.0,0.1428571428571428,1.0
505,novel,4,0.01,10919.0,matson3,matson3,4.0,5.0,1.0,1.0
506,novel,4,0.01,11008.0,ecottle,ecottle,4.0,5.0,1.0,1.0
507,novel,4,0.99,11096.0,littlex2015,littlex2015,4.0,5.0,0.0,1.0
508,novel,4,0.01,11269.0,hihms,hihms,4.0,5.0,1.0,1.0
509,novel,4,0.5,11354.0,snugghash,snugghash,4.0,5.0,0.5,1.0
510,novel,4,0.01,11438.0,zhao744,zhao744,4.0,5.0,1.0,1.0
511,novel,4,0.8333333333333334,11521.0,ko68,ko68,4.0,5.0,0.1666666666666666,1.0
512,novel,4,0.3333333333333333,11603.0,GeoffYart,GeoffYart,4.0,5.0,0.6666666666666666,1.0
513,novel,4,0.01,11684.0,gshowal,gshowal,4.0,5.0,1.0,1.0
514,novel,4,0.75,11764.0,Nigogu,Nigogu,4.0,5.0,0.25,1.0
515,novel,4,0.8333333333333334,11843.0,daapinzonch,daapinzonch,4.0,5.0,0.1666666666666666,1.0
516,novel,4,0.99,11923.0,Orloffyeah,Orloffyeah,4.0,5.0,0.0,1.0
517,novel,4,0.01,12000.0,DiegoAraque1207,DiegoAraque1207,4.0,5.0,1.0,1.0
518,novel,4,0.5,12076.0,olimita,olimita,4.0,5.0,0.5,1.0
519,novel,4,0.01,12151.0,Joacampora,Joacampora,4.0,5.0,1.0,1.0
520,novel,4,0.01,12299.0,LauraMolina,LauraMolina,4.0,5.0,1.0,1.0
521,novel,4,0.01,12442.0,JulianM96,JulianM96,4.0,5.0,1.0,1.0
522,novel,4,0.375,12512.0,cglaitong,cglaitong,4.0,5.0,0.625,1.0
523,novel,4,0.99,12581.0,DaniCastel,DaniCastel,4.0,5.0,0.0,1.0
524,novel,4,0.5,12649.0,alejosaur,alejosaur,4.0,5.0,0.5,1.0
525,novel,4,0.3333333333333333,12717.0,garayf,garayf,4.0,5.0,0.6666666666666666,1.0
526,novel,4,0.99,12783.0,sebcamacho1703,sebcamacho1703,4.0,5.0,0.0,1.0
527,novel,4,0.8,12848.0,xFortich,xFortich,4.0,5.0,0.2,1.0
528,novel,4,0.4444444444444444,12913.0,davideperdomo,davideperdomo,4.0,5.0,0.5555555555555556,1.0
529,novel,4,0.01,13037.0,anferoar96,anferoar96,4.0,5.0,1.0,1.0
530,novel,4,0.01,13098.0,trickyjuggler,trickyjuggler,4.0,5.0,1.0,1.0
531,novel,4,0.99,13158.0,casc3798,casc3798,4.0,5.0,0.0,1.0
532,novel,4,0.8,13217.0,jsalcinar,jsalcinar,4.0,5.0,0.2,1.0
533,novel,4,0.5,13275.0,Anvido,Anvido,4.0,5.0,0.5,1.0
534,novel,4,0.01,13332.0,Jufcardenasmo,Jufcardenasmo,4.0,5.0,1.0,1.0
535,novel,4,0.6,13388.0,federgolo,federgolo,4.0,5.0,0.4,1.0
536,novel,4,0.01,13443.0,diefrodriguezcha,diefrodriguezcha,4.0,5.0,1.0,1.0
537,novel,4,0.5555555555555556,13498.0,pahigueraf,pahigueraf,4.0,5.0,0.4444444444444444,1.0
