,link1_change,link2_change,ssim_exp,stage,comparison_type
285,bfprietoc,bfprietoc,0.0,4,simple
286,biherrerap,biherrerap,39.9,4,simple
287,dahrojasca,dahrojasca,87.5,4,simple
288,davideperdomo,davideperdomo,11.299999999999997,4,simple
289,frnkbs,frnkbs,1.7999999999999972,4,simple
290,gahormigag,gahormigag,0.0,4,simple
291,gimg1859,gimg1859,67.2,4,simple
292,ironhacktech2,ironhacktech2,13.099999999999994,4,simple
293,jannMorenoJ,jannMorenoJ,0.0,4,simple
294,jdgaitanf,jdgaitanf,59.0,4,simple
295,nikolasto,nikolasto,0.0,4,simple
296,pahigueraf,pahigueraf,3.4000000000000057,4,simple
297,sarguellesr,sarguellesr,0.0,4,simple
298,uxjudges1,uxjudges1,0.0,4,simple
299,uxjudges,uxjudges,0.0,4,simple
300,vvargasd,vvargasd,0.0,4,simple
