,link1_change,link2_change,ssim_exp,stage,comparison_type,ssim_exp_scale
203,GeoffYart,GeoffYart,72.4,2,complete,0.724
204,Ilyumzhinov,Ilyumzhinov,0.0,2,complete,0.01
205,Jordan-Loeser,Jordan-Loeser,47.1,2,complete,0.471
206,LukasMMarinovic,LukasMMarinovic,32.5,2,complete,0.325
207,RCODI,RCODI,68.4,2,complete,0.684
208,SionHu,SionHu,0.0,2,complete,0.01
209,aclipfel,aclipfel,0.0,2,complete,0.01
210,bzin22,bzin22,12.900000000000006,2,complete,0.129
211,ecottle,ecottle,23.5,2,complete,0.235
212,gshowal,gshowal,10.700000000000005,2,complete,0.107
213,hihms,hihms,0.0,2,complete,0.01
214,jmamaril25,jmamaril25,9.700000000000005,2,complete,0.097
215,jmhunter4711,jmhunter4711,0.0,2,complete,0.01
216,ko68,ko68,0.0,2,complete,0.01
217,laurarotger,laurarotger,0.0,2,complete,0.01
218,laurenjank,laurenjank,66.1,2,complete,0.661
219,lennwgs,lennwgs,0.0,2,complete,0.01
220,littlex2015,littlex2015,0.0999999999999943,2,complete,0.001
221,matson3,matson3,71.1,2,complete,0.711
222,mdecloedt,mdecloedt,73.9,2,complete,0.739
223,nbraunec,nbraunec,2.9000000000000057,2,complete,0.029
224,noah-curran,noah-curran,0.2999999999999971,2,complete,0.003
225,sanjitsama,sanjitsama,42.3,2,complete,0.423
226,shivans,shivans,0.0,2,complete,0.01
227,snugghash,snugghash,41.1,2,complete,0.411
228,viswapurdue,viswapurdue,63.5,2,complete,0.635
229,whipplem123,whipplem123,4.700000000000003,2,complete,0.047
230,zhao744,zhao744,8.400000000000006,2,complete,0.084
231,CampbellC2,CampbellC2,77.3,3,complete,0.773
232,GeoffYart,GeoffYart,51.9,3,complete,0.519
233,Ilyumzhinov,Ilyumzhinov,0.0,3,complete,0.01
234,Jordan-Loeser,Jordan-Loeser,1.2000000000000028,3,complete,0.012
235,LukasMMarinovic,LukasMMarinovic,0.0,3,complete,0.01
236,RCODI,RCODI,53.9,3,complete,0.539
237,SionHu,SionHu,0.0,3,complete,0.01
238,aclipfel,aclipfel,0.0,3,complete,0.01
239,bzin22,bzin22,24.5,3,complete,0.245
240,ecottle,ecottle,58.8,3,complete,0.588
241,gshowal,gshowal,0.0,3,complete,0.01
242,hihms,hihms,0.2999999999999971,3,complete,0.003
243,jmamaril25,jmamaril25,49.4,3,complete,0.494
244,jmhunter4711,jmhunter4711,0.0,3,complete,0.01
245,ko68,ko68,0.2000000000000028,3,complete,0.002
246,laurarotger,laurarotger,0.0,3,complete,0.01
247,laurenjank,laurenjank,0.0,3,complete,0.01
248,lennwgs,lennwgs,0.0,3,complete,0.01
249,littlex2015,littlex2015,65.6,3,complete,0.656
250,matson3,matson3,0.5,3,complete,0.005
251,mdecloedt,mdecloedt,21.099999999999994,3,complete,0.211
252,nbraunec,nbraunec,9.0,3,complete,0.09
253,noah-curran,noah-curran,0.0,3,complete,0.01
254,sanjitsama,sanjitsama,42.3,3,complete,0.423
255,shivans,shivans,0.0,3,complete,0.01
256,snugghash,snugghash,0.0,3,complete,0.01
257,viswapurdue,viswapurdue,65.4,3,complete,0.654
258,whipplem123,whipplem123,8.200000000000003,3,complete,0.082
259,zhao744,zhao744,6.0,3,complete,0.06
260,CampbellC2,CampbellC2,44.9,4,complete,0.449
261,Ilyumzhinov,Ilyumzhinov,0.0,4,complete,0.01
262,Jordan-Loeser,Jordan-Loeser,0.0999999999999943,4,complete,0.001
263,LukasMMarinovic,LukasMMarinovic,28.099999999999994,4,complete,0.281
264,RCODI,RCODI,24.200000000000003,4,complete,0.242
265,SionHu,SionHu,0.0,4,complete,0.01
266,bzin22,bzin22,6.299999999999997,4,complete,0.063
267,ecottle,ecottle,0.0,4,complete,0.01
268,hihms,hihms,0.5,4,complete,0.005
269,jmamaril25,jmamaril25,19.90000000000001,4,complete,0.199
270,laurarotger,laurarotger,0.0,4,complete,0.01
271,laurenjank,laurenjank,13.400000000000006,4,complete,0.134
272,lennwgs,lennwgs,0.0,4,complete,0.01
273,littlex2015,littlex2015,0.0,4,complete,0.01
274,matson3,matson3,10.0,4,complete,0.1
275,mdecloedt,mdecloedt,10.900000000000006,4,complete,0.109
276,nbraunec,nbraunec,52.7,4,complete,0.527
277,noah-curran,noah-curran,12.799999999999995,4,complete,0.128
278,sanjitsama,sanjitsama,54.4,4,complete,0.544
279,shivans,shivans,0.0,4,complete,0.01
280,snugghash,snugghash,74.8,4,complete,0.748
281,viswapurdue,viswapurdue,0.0999999999999943,4,complete,0.001
282,whipplem123,whipplem123,1.2999999999999972,4,complete,0.013
