,username,stage,dist_search_novel,type,dist_search_vis,dist_search_data
529,bzin22,4,0.0,maps,0.01,0.0
530,bzin22,4,0.0,maps,0.01,0.0
531,ecottle,4,0.0,maps,0.838,0.0
532,ecottle,4,0.0,maps,0.838,0.0
533,hihms,4,0.0,maps,0.01,0.0
534,hihms,4,0.0,maps,0.01,0.0
535,jmamaril25,4,0.0,maps,0.081,0.0
536,jmamaril25,4,0.0,maps,0.081,0.0
537,laurenjank,4,0.0,maps,0.777,0.0
538,laurenjank,4,0.0,maps,0.777,0.0
539,lennwgs,4,0.0,maps,0.01,0.0
540,lennwgs,4,0.0,maps,0.01,0.0
541,littlex2015,4,0.0,maps,0.01,0.0
542,littlex2015,4,0.0,maps,0.01,0.0
543,matson3,4,0.0,maps,0.166,0.0
544,matson3,4,0.0,maps,0.166,0.0
545,noah-curran,4,0.0,maps,0.174,0.0
546,noah-curran,4,0.0,maps,0.174,0.0
547,viswapurdue,4,0.0,maps,0.01,0.0
548,viswapurdue,4,0.0,maps,0.01,0.0
