,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type,Unnamed: 0.1,username1,username2,link1,link2,ssim,features2d,link1_change,link2_change,ssim_exp,group,Unnamed: 0.1.1,ssim_exp_scale
214,92987,FredyRosero,FredyRosero,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
215,93311,mdecloedt,mdecloedt,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
216,93634,Jordan-Loeser,Jordan-Loeser,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
217,93956,LukasMMarinovic,LukasMMarinovic,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
218,94277,whipplem123,whipplem123,3.0,4.0,0.0,1.0,3,1.0,data,,,,,,,,,,,,,
219,94597,SionHu,SionHu,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
220,94916,jmamaril25,jmamaril25,3.0,4.0,0.9487179487179488,1.0,3,0.0512820512820513,data,,,,,,,,,,,,,
221,95234,lennwgs,lennwgs,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
222,95551,viswapurdue,viswapurdue,3.0,4.0,0.0,1.0,3,1.0,data,,,,,,,,,,,,,
223,95867,CampbellC2,CampbellC2,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
224,96182,noah-curran,noah-curran,3.0,4.0,0.6666666666666666,1.0,3,0.3333333333333333,data,,,,,,,,,,,,,
225,96496,laurenjank,laurenjank,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
226,96809,bzin22,bzin22,3.0,4.0,0.7441860465116279,1.0,3,0.2558139534883721,data,,,,,,,,,,,,,
227,97121,AkaGar,AkaGar,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
228,97432,matson3,matson3,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
229,97742,ecottle,ecottle,3.0,4.0,1.0,1.0,3,0.0,data,,,,,,,,,,,,,
230,98051,littlex2015,littlex2015,3.0,4.0,0.5925925925925926,1.0,3,0.4074074074074074,data,,,,,,,,,,,,,
