,username,dist_search,stage,type
498,jmhunter4711,0.01,3,simple
499,ko68,0.002,3,simple
500,ko68,0.002,3,simple
501,laurarotger,0.01,3,simple
502,laurarotger,0.01,3,simple
503,laurenjank,0.01,3,simple
504,laurenjank,0.01,3,simple
505,lennwgs,0.01,3,simple
506,lennwgs,0.01,3,simple
507,littlex2015,0.805,3,simple
508,littlex2015,0.805,3,simple
509,matson3,0.006,3,simple
510,matson3,0.006,3,simple
511,mdecloedt,0.211,3,simple
512,mdecloedt,0.211,3,simple
513,nbraunec,0.082,3,simple
514,nbraunec,0.082,3,simple
515,noah-curran,0.01,3,simple
516,noah-curran,0.01,3,simple
517,sanjitsama,0.423,3,simple
518,sanjitsama,0.423,3,simple
519,shivans,0.01,3,simple
520,shivans,0.01,3,simple
521,snugghash,0.01,3,simple
522,snugghash,0.01,3,simple
523,viswapurdue,0.329,3,simple
524,viswapurdue,0.329,3,simple
525,whipplem123,0.044,3,simple
526,whipplem123,0.044,3,simple
527,zhao744,0.06,3,simple
528,zhao744,0.06,3,simple
529,bzin22,0.01,4,maps
530,bzin22,0.01,4,maps
531,ecottle,0.838,4,maps
532,ecottle,0.838,4,maps
533,hihms,0.01,4,maps
534,hihms,0.01,4,maps
535,jmamaril25,0.081,4,maps
536,jmamaril25,0.081,4,maps
537,laurenjank,0.777,4,maps
538,laurenjank,0.777,4,maps
539,lennwgs,0.01,4,maps
540,lennwgs,0.01,4,maps
541,littlex2015,0.01,4,maps
542,littlex2015,0.01,4,maps
543,matson3,0.166,4,maps
544,matson3,0.166,4,maps
545,noah-curran,0.174,4,maps
546,noah-curran,0.174,4,maps
547,viswapurdue,0.01,4,maps
548,viswapurdue,0.01,4,maps
549,whipplem123,0.01,4,maps
550,whipplem123,0.01,4,maps
551,RCODI,0.242,4,charts
552,RCODI,0.242,4,charts
553,CampbellC2,0.449,4,complete
554,CampbellC2,0.449,4,complete
555,Ilyumzhinov,0.01,4,complete
556,Ilyumzhinov,0.01,4,complete
557,Jordan-Loeser,0.001,4,complete
558,Jordan-Loeser,0.001,4,complete
559,LukasMMarinovic,0.281,4,complete
560,LukasMMarinovic,0.281,4,complete
561,RCODI,0.242,4,complete
562,RCODI,0.242,4,complete
563,SionHu,0.01,4,complete
564,SionHu,0.01,4,complete
565,bzin22,0.063,4,complete
566,bzin22,0.063,4,complete
567,ecottle,0.01,4,complete
568,ecottle,0.01,4,complete
569,hihms,0.005,4,complete
570,hihms,0.005,4,complete
571,jmamaril25,0.199,4,complete
572,jmamaril25,0.199,4,complete
573,laurarotger,0.01,4,complete
574,laurarotger,0.01,4,complete
575,laurenjank,0.134,4,complete
576,laurenjank,0.134,4,complete
577,lennwgs,0.01,4,complete
578,lennwgs,0.01,4,complete
579,littlex2015,0.01,4,complete
580,littlex2015,0.01,4,complete
581,matson3,0.1,4,complete
582,matson3,0.1,4,complete
583,mdecloedt,0.109,4,complete
584,mdecloedt,0.109,4,complete
585,nbraunec,0.527,4,complete
586,nbraunec,0.527,4,complete
587,noah-curran,0.128,4,complete
588,noah-curran,0.128,4,complete
589,sanjitsama,0.544,4,complete
590,sanjitsama,0.544,4,complete
591,shivans,0.01,4,complete
592,shivans,0.01,4,complete
593,snugghash,0.748,4,complete
594,snugghash,0.748,4,complete
595,viswapurdue,0.001,4,complete
596,viswapurdue,0.001,4,complete
597,whipplem123,0.013,4,complete
598,whipplem123,0.013,4,complete
599,CampbellC2,0.449,4,simple
600,CampbellC2,0.449,4,simple
601,Ilyumzhinov,0.01,4,simple
602,Ilyumzhinov,0.01,4,simple
603,LukasMMarinovic,0.281,4,simple
604,LukasMMarinovic,0.281,4,simple
605,SionHu,0.01,4,simple
606,SionHu,0.01,4,simple
607,bzin22,0.063,4,simple
608,bzin22,0.063,4,simple
609,ecottle,0.01,4,simple
610,ecottle,0.01,4,simple
611,hihms,0.01,4,simple
612,hihms,0.01,4,simple
613,jmamaril25,0.161,4,simple
614,jmamaril25,0.161,4,simple
615,laurarotger,0.01,4,simple
616,laurarotger,0.01,4,simple
617,laurenjank,0.132,4,simple
618,laurenjank,0.132,4,simple
619,lennwgs,0.01,4,simple
620,lennwgs,0.01,4,simple
621,littlex2015,0.01,4,simple
622,littlex2015,0.01,4,simple
623,matson3,0.001,4,simple
624,matson3,0.001,4,simple
625,mdecloedt,0.109,4,simple
626,mdecloedt,0.109,4,simple
