,username,stage,dist_search_novel,dist_search_vis,dist_search_data
441,Ilyumzhinov,4,0.0,0.0,0.0
442,aclipfel,4,0.0,0.0,0.0
443,Daryhez,4,0.0,0.0,0.0
444,fewilchesc,4,0.0,0.0,0.0
445,criscapunal,4,0.0,0.0,1.0
446,dieguischa,4,0.0,0.0,0.0
447,Gavnic,4,0.0,0.0,0.0
448,Ozai98,4,0.0,0.0,0.0
449,Sariilan,4,0.0,0.0,0.0
450,vvargasd,4,0.0,0.0,0.0
451,bfprietoc,4,0.0,0.0,0.0
452,Acreed21,4,0.0,0.0,0.0
453,Camiioo,4,0.0,0.0,0.0
454,evilcucaracha,4,0.0,0.0,1.0
455,Saariasba,4,0.0,0.0,0.0
456,tres-iqus,4,0.0,0.0,0.0
457,jaasuarezvi,4,0.0,0.0,0.0
458,DavidsMartinez,4,0.0,0.0,0.0
459,Biopeligro,4,0.0,0.0,0.0
460,jaleonro,4,0.0,0.0,0.0
461,facuellarg,4,0.0,0.0,0.0
462,Caadiazsi,4,0.0,0.0,0.0
463,Gusgal03,4,0.0,0.0,0.0
464,alebautis,4,0.0,0.0,0.0
465,nikolasto,4,0.0,0.0,0.0
466,gahormigag,4,0.0,0.0,0.0
467,StevenEsmar,4,0.0,0.0,0.0
468,dcastanedar,4,0.0,0.0,0.0
469,DaveValencia,4,0.0,0.0,0.0
470,tres-xxx,4,0.0,0.0,0.0
471,buendiagon,4,0.0,0.0,0.0
472,DSFarfanF,4,0.0,0.0,0.0
473,jssanchezo,4,0.0,0.0,0.0
474,jdgaitanf,4,0.0,0.0,0.0
475,gimg1859,4,0.0,0.0,0.0
476,jannMorenoJ,4,0.0,0.0,0.0
477,dahrojasca,4,0.0,0.0,0.0
