,type,stage,dist_search,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp
580,novel,4,0.9166666666666666,10458.0,jmamaril25,jmamaril25,4.0,5.0,0.0833333333333333,1.0
581,novel,4,0.01,10552.0,viswapurdue,viswapurdue,4.0,5.0,1.0,1.0
582,novel,4,0.01,10646.0,noah-curran,noah-curran,4.0,5.0,1.0,1.0
583,novel,4,0.01,10738.0,bzin22,bzin22,4.0,5.0,1.0,1.0
584,novel,4,0.8571428571428572,10829.0,AkaGar,AkaGar,4.0,5.0,0.1428571428571428,1.0
585,novel,4,0.01,10919.0,matson3,matson3,4.0,5.0,1.0,1.0
586,novel,4,0.01,11008.0,ecottle,ecottle,4.0,5.0,1.0,1.0
587,novel,4,0.99,11096.0,littlex2015,littlex2015,4.0,5.0,0.0,1.0
588,novel,4,0.01,11269.0,hihms,hihms,4.0,5.0,1.0,1.0
589,novel,4,0.5,11354.0,snugghash,snugghash,4.0,5.0,0.5,1.0
590,novel,4,0.01,11438.0,zhao744,zhao744,4.0,5.0,1.0,1.0
591,novel,4,0.8333333333333334,11521.0,ko68,ko68,4.0,5.0,0.1666666666666666,1.0
592,novel,4,0.3333333333333333,11603.0,GeoffYart,GeoffYart,4.0,5.0,0.6666666666666666,1.0
593,novel,4,0.01,11684.0,gshowal,gshowal,4.0,5.0,1.0,1.0
594,novel,4,0.75,11764.0,Nigogu,Nigogu,4.0,5.0,0.25,1.0
595,novel,4,0.8333333333333334,11843.0,daapinzonch,daapinzonch,4.0,5.0,0.1666666666666666,1.0
596,novel,4,0.99,11923.0,Orloffyeah,Orloffyeah,4.0,5.0,0.0,1.0
597,novel,4,0.01,12000.0,DiegoAraque1207,DiegoAraque1207,4.0,5.0,1.0,1.0
598,novel,4,0.5,12076.0,olimita,olimita,4.0,5.0,0.5,1.0
599,novel,4,0.01,12151.0,Joacampora,Joacampora,4.0,5.0,1.0,1.0
600,novel,4,0.01,12299.0,LauraMolina,LauraMolina,4.0,5.0,1.0,1.0
601,novel,4,0.01,12442.0,JulianM96,JulianM96,4.0,5.0,1.0,1.0
602,novel,4,0.375,12512.0,cglaitong,cglaitong,4.0,5.0,0.625,1.0
603,novel,4,0.99,12581.0,DaniCastel,DaniCastel,4.0,5.0,0.0,1.0
604,novel,4,0.5,12649.0,alejosaur,alejosaur,4.0,5.0,0.5,1.0
605,novel,4,0.3333333333333333,12717.0,garayf,garayf,4.0,5.0,0.6666666666666666,1.0
606,novel,4,0.99,12783.0,sebcamacho1703,sebcamacho1703,4.0,5.0,0.0,1.0
607,novel,4,0.8,12848.0,xFortich,xFortich,4.0,5.0,0.2,1.0
608,novel,4,0.4444444444444444,12913.0,davideperdomo,davideperdomo,4.0,5.0,0.5555555555555556,1.0
609,novel,4,0.01,13037.0,anferoar96,anferoar96,4.0,5.0,1.0,1.0
610,novel,4,0.01,13098.0,trickyjuggler,trickyjuggler,4.0,5.0,1.0,1.0
