,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type
132107,Camiioo,Camiioo,4,5,1.0,1,4,0.01,data
132271,frnkbs,frnkbs,4,5,0.0,1,4,0.99,data
132434,Jfcastroh,Jfcastroh,4,5,1.0,1,4,0.01,data
132596,evilcucaracha,evilcucaracha,4,5,0.0,1,4,0.99,data
132757,JulianM96,JulianM96,4,5,1.0,1,4,0.01,data
132917,Saariasba,Saariasba,4,5,1.0,1,4,0.01,data
133076,tres-iqus,tres-iqus,4,5,1.0,1,4,0.01,data
133234,cglaitong,cglaitong,4,5,1.0,1,4,0.01,data
133391,DaniCastel,DaniCastel,4,5,0.5483870967741935,1,4,0.4516129032258065,data
133547,BrandonAvilanR,BrandonAvilanR,4,5,1.0,1,4,0.01,data
133702,alejosaur,alejosaur,4,5,1.0,1,4,0.01,data
133856,jaasuarezvi,jaasuarezvi,4,5,1.0,1,4,0.01,data
134009,jdsolanos,jdsolanos,4,5,0.0,1,4,0.99,data
134161,DavidsMartinez,DavidsMartinez,4,5,1.0,1,4,0.01,data
134312,Biopeligro,Biopeligro,4,5,1.0,1,4,0.01,data
134462,garayf,garayf,4,5,0.7777777777777778,1,4,0.2222222222222222,data
134611,jaleonro,jaleonro,4,5,1.0,1,4,0.01,data
