username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
DiegoAraque1207,unal0,IH-Project-2017-DiegoAraque1207_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Housing New York Units by Building, ",0,1,1,0,0,0,1,1,"jquery,bootstrap,",0.011627906976744186,98.83720930232558,5,50,62.96%,"0,0,1,1,0,0,0,1,1,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,62.96%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,62.96%,3,0.6666666666666667,74.07%,"1.0,1.0,1.0,;",10,166.8951803168183,62.96%
olimita,unal0,IH-Project-2017-olimita_webapp_phase4,Fri Nov 17 12:12:48 2017,0,3,"New York City Museums, New York Safety, Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,",0.019230769230769232,98.07692307692307,9,90,88.89%,"0,1,1,1,1,1,1,1,1,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,77.78%,"0.0,0.0,1.0,0.0,1.0,0.0,",3,13.043478260869565,77.78%,10,2.2222222222222223,88.89%,"1.0,1.0,1.0,;3.0,0.0,1.0,;1.0,1.0,1.0,;",22,216.38610182088442,88.89%
yaochoal,unal0,IH-Project-2017-yaochoal_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Gavnic,unal0,IH-Project-2017-Gavnic_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Joacampora,unal0,IH-Project-2017-Joacampora_webapp_phase4,Fri Nov 17 12:12:48 2017,0,4,"New York City Art Galleries, New York City Locations Providing Seasonal Flu Vaccinations, New York City Museums, NYCHA Development Data Book, ",0,1,1,0,0,0,1,1,"d3,jquery,bootstrap,",0.017857142857142856,98.21428571428571,5,50,55.56%,"0,0,1,1,0,0,0,1,1,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,92.59%,"1.0,0.0,1.0,1.0,1.0,0.0,",5,21.73913043478261,92.59%,15,3.3333333333333335,96.3%,"1.0,1.0,2.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;3.0,0.0,0.0,;",25,195.02587991718428,85.19%
Ozai98,unal0,IH-Project-2017-Ozai98_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
nviverosb,unal0,IH-Project-2017-nviverosb_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,0,0,1,1,"jquery,bootstrap,",0.012853470437017995,98.7146529562982,7,70,85.19%,"1,1,1,1,0,0,0,1,1,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,62.96%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,62.96%,6,1.3333333333333335,81.48%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",15,187.43929063745765,77.78%
Sariilan,unal0,IH-Project-2017-Sariilan_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Alekzu,unal0,IH-Project-2017-Alekzu_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,0,0,0,1,0,,0.02702702702702703,97.2972972972973,5,50,51.85%,"0,1,1,1,0,0,0,1,0,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,62.96%,"1.0,0.0,0.0,0.0,0.0,0.0,",2,8.695652173913043,62.96%,0,0.0,0.0%,,7,164.68860164512338,59.26%
vvargasd,unal0,IH-Project-2017-vvargasd_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
